Workshop Name,Beschreibung,Studio Name,Location,Category,Date,URL_E,Time
,"Du wolltest Poledance schon immer mal ausprobieren? Genau jetzt ist die richtige Zeit dafür! Schluss mit den Entbehrungen - Auf in ein neues sportliches Abenteuer! Teste den Pole Sport und unser Studio einen Monat lang auf Herz und Nieren und bekomme einen Eindruck, wie es ist eine Polerina zu sein. Entdecke Dich neu und spüre wie diese Sportart Deinem Körpergefühl und Deinem Selbstbewusstsein neuen Schwung verleiht! Inhalt: 4 Poledance-Einheiten/ 4 Wochen - inklusive der kostenlosen Nutzung des freien Trainings (Open Class) mehrmals pro Woche - für nur 69 Euro Was trägst du beim Poledance? Beim Poledance trägst Du eine kurze Sporthose (am besten eine kurze Hotpants), einen Sport-BH und Top und bringst bitte ein Mikrofasertuch, sowie ein Getränk (keine Glasflaschen) mit. Wir trainieren auf Socken und/ oder barfuß. Turnschuhe sind nicht erforderlich. Beim Warm Up kannst du gerne mit einer Jacke und Jogging Hose drüber starten. Schmuck (Ringe, Armbänder, Ketten etc.) und Piercings MÜSSEN (!) abgelegt werden, da sonst das Verletzungsrisiko erhöht ist und die Stangen beschädigt werden. Viel Spaß bei Deinem ersten Ausflug in die aufregende Welt des Poledance! Dein PoleRoom Team",PoleRoom Braunschweig,Beginner Workshop Poledance,Poledance,"Begann am Montag, 8. Januar 2024",https://www.eversports.de/e/workshop/ITccdPW,"Büchnerstraße 10, 38118 Braunschweig"
,"Sei dabei, bei unserem nächsten 4-wöchigen Einsteiger Workshop am Luftring (Aerial Hoop)! Probiere Dich aus und lerne mit uns zu fliegen! Aerial Hoop (auch Lyra oder Luftring genannt) ist ein Ring aus Edelstahl der in luftiger Höhe schwebt. In dem Ring kannst Du wunderschöne Hebefiguren machen, aber auch dynamische Bewegungen und Kombinationen. Du bemerkst in dieser Faszination kaum, dass es ein wunderbares Ganzkörper-Workout ist. Wie lange? 4 Wochen/ 1 Einheit pro Woche - Preis: 69 Euro Der wöchentliche Kurs findet 4 mal statt. Solltest du an einem Termin verhindert sein, kannst du diese Stunde nach dem Workshop, in unseren regulären Aerial Hoop Kursen nachholen. Sichere Dir jetzt Deinen Platz!  Anmeldungen erfolgen über unseren Shop www.poleroom.de/shop: Hier einfach das Angebot 'Beginner Workshop Aerial Hoop' auswählen, kurz bei uns registrieren und ganz easy online bezahlen.  Viel Spaß bei uns!",PoleRoom Braunschweig,20:15 - 21:15,Aerial Hoop,"Beginnt am Dienstag, 30. Januar 2024",https://www.eversports.de/e/workshop/5FIBkpe,"Büchnerstraße 10, 38118 Braunschweig"
,"Du wolltest Poledance schon immer mal ausprobieren? Genau jetzt ist die richtige Zeit dafür. Auf in ein neues sportliches Abenteuer! Entdecke Dich neu und spüre wie diese Sportart Deinem Körpergefühl und Deinem Selbstbewusstsein neuen Schwung verleiht! Inhalt: 4 Poledance-Einheiten/ 4 Wochen - inklusive der kostenlosen Nutzung des freien Trainings (Open Class) mehrmals pro Woche - plus eine Einheit oben drauf von uns als Geschenk - für insgesamt nur 69 Euro Was trägst du beim Poledance? Beim Poledance trägst Du eine kurze Sporthose (am besten eine kurze Hotpants), einen Sport-BH und Top und bringst bitte ein Mikrofasertuch, sowie ein Getränk (keine Glasflaschen) mit. Wir trainieren auf Socken und/ oder barfuß. Turnschuhe sind nicht erforderlich. Beim Warm Up kannst du gerne mit einer Jacke und Jogging Hose drüber starten. Schmuck (Ringe, Armbänder, Ketten etc.) und Piercings MÜSSEN (!) abgelegt werden, da sonst das Verletzungsrisiko erhöht ist und die Stangen beschädigt werden. Bitte bringe ein Mikrofaser Tuch mit zu den Kursen! Viel Spaß bei Deinem ersten Ausflug in die aufregende Welt des Poledance Dein PoleRoom Team",PoleRoom Braunschweig,Beginner Workshop Poledance,Poledance,"Beginnt am Montag, 5. Februar 2024",https://www.eversports.de/e/workshop/GB5CNr0,"Büchnerstraße 10, 38118 Braunschweig"
,"Doppelt hält besser! Der Luftring ist eins der am besten geeignetsten Aerial Geräte um zu zweit einzelne Figuren oder sogar ganze Performances zu machen. Ob einfach den Partner im Hoop spiegeln oder eine Spektakuläre Hebe (-Halte) Figur, gemeinsam im Ring begeistert man mehr! Für unseren Workshop brauchst du keine große Vorerfahrung am Hoop und auch nicht zwingend einen festen Partner. Wenige Grundkenntnisse am Hoop oder gute Kenntnisse in einer anderen Aerial Sportart (Pole, Silk o.ä.) reichen aus. Ob du dich zusammen mit deinem Partner, einem Freund anmelden möchtest oder alleine kommst, ist egal.  Woran musst du denken vor unserem Workshop? Bitte ziehe lange, enge Sportkleidung an. Socken und zusätzlich dicke Socken zum Überziehen. Vergesse dein Getränk nicht. Sarah und Isabo freuen sich auf euch. Wir wollen Dich in die Welt der Partner Akrobatik entführen und bringen Dir einige wunderschöne Kombinationen mit Partner, am Luftring bei.",PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",Aerial Hoop,"Sonntag, 3. März 2024",https://www.eversports.de/e/workshop/1pzXUtZ,14:00 - 16:00
,"In diesem Workshop wird Chair mit Pole Dance kombiniert. Lerne Übergänge von der Stange auf den Stuhl und umgekehrt. Die Inhalte werden in einer Choreografie erlernt. Vorkenntnisse: Du solltest dich bereits mit den Armen an der Stange halten können. American Turn sowie Fan Kick, Spins in der Luft sind z.B. in der Choreo enthalten.",Pole Dance Krefeld,Einzelticket,Poledance,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/workshop/AKLhjkw,13:30 - 15:30
,"Join this workshop to learn a heels choreography with interesting flow transitions - all about lines and fluidity. Learn how to fill the space with movements and how to enjoy yourself while dancing. --> Bring knee pads, heels and platform protectors!",Pole Dance Krefeld,Einzelticket,Poledance,"Samstag, 3. Februar 2024",https://www.eversports.de/e/workshop/-EpTuWT,12:00 - 13:30
,"Sasha will give you detailed flow explanations and she’ll show you transitions and stylish tricks for Heels routines.  --> Bring knee pads, heels and platform protectors!",Pole Dance Krefeld,Einzelticket,Poledance,"Samstag, 3. Februar 2024",https://www.eversports.de/e/workshop/hFi4nNH,14:00 - 15:30
,"Join this workshop to learn a heels choreography with interesting flow transitions - all about lines and fluidity. Learn how to fill the space with movements and how to enjoy yourself while dancing. --> Bring knee pads, heels and platform protectors!",Pole Dance Krefeld,Einzelticket,Poledance,"Samstag, 3. Februar 2024",https://www.eversports.de/e/workshop/T5e_9Bp,16:00 - 17:30
,"Du möchtest zum Valentinstag deine(n) Liebste(n) mit einer besonderen Art der Verführung überraschen? Oder einfach gerne wissen, wie ein Lap Dance funktioniert, falls du ihn mal brauchst? Dann solltest du diesen Workshop nicht verpassen! Lap Dance (wörtlich übersetzt 'Tanzen auf dem Schoß') ist eine sexy verführerische Art des Kontakttanzes, wo ihr lernt die Person auf dem Stuhl zu verführen. In der Choreo lernt ihr auch wie ihr euch gekonnt und sexy eurer Kleidung entledigt (ihr seid am Ende natürlich nicht wirklich nackt im Kurs ;-) ). Ihr tanzt jeweils abwechselnd zu zweit. Du kannst natürlich alleine teilnehmen und bekommst vor Ort eine Tanzpartnerin :-) Auch Singlefrauen sind willkommen ;-D Keine Vorkenntnisse notwendig.",Pole Dance Krefeld,Einzelticket,Chairdance,"Sonntag, 11. Februar 2024",https://www.eversports.de/e/workshop/WkTS9HS,16:00 - 18:00
,"Es ist eine völlig andere Art sich um die Stange zu bewegen. Hier tanzen wir an einer statischen Stange. Dieser Tanzstil konzentriert sich oft auf langsamere, fließende Bewegungen. Der Fokus liegt auf Körperhaltung, Beinarbeit und der sinnlichen Ausstrahlung. Exotic Pole enthält sowohl Elemente an der Stange als auch auf dem Boden. Der Kurs ist speziell für Pole Schüler aus den unteren Leveln, die keinerlei Exotic Erfahrung haben, es aber gerne mal ausprobieren möchten. Wer High Heels (Pleaser) hat, darf diese gerne mitbringen. Ansonsten kann die Choreo auch ohne Heels getanzt werden. Vorkenntnisse: Pole Dance Level 0-2",Pole Dance Krefeld,Einzelticket,Poledance,"Sonntag, 24. März 2024",https://www.eversports.de/e/workshop/_LQRruK,13:30 - 15:30
