Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Chair Dance,Feb20Dienstag,"ab 10,00 €",1 Einheit,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/GPwT8hl
Faszientraining - AgilityLife,März21bis Mai 09,"ab 12,00 €",8 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/Q4B35ej
Pole meets Burlesque Workshop,Feb09Freitag,"ab 30,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/VYi81mK
Pole Nick - Down to Earth,Feb24Samstag,"ab 60,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/101RSFR
Pole Nick - Balance Baby,Feb24Samstag,"ab 60,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/AnumKko
Pole Nick - Alltime Favourites,Feb24Samstag,"ab 60,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/aqDwRxt
Strip Plastic mit BendyGio,März22Freitag,"ab 59,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/xpUUbAx
Spinning Flexy Illusions mit BendyGio,März22Freitag,"ab 59,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/yXAMy8l
Dan Rosen - Dynamic Heels,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/mI91ydw
Dan Rosen - Heels Flow,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/Ngcpd4l
Dan Rosen - Dan's Favourite Combo's,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/ij8VZCH
Twerk with Karina,Feb10Samstag,"ab 40,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/YiU_KF8
Burlesque X Pole Art,Feb10Samstag,"ab 40,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/Vnofur2
Flirty Double Silk,Feb10Samstag,"ab 40,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/wFn4PaN
Heels Strip'n'Floor,Feb10Samstag,"ab 40,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/6ZllXAZ
Lap Dance,Feb10Samstag,"ab 40,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/7blW22y
Sweet Low Flow Pole,Feb10Samstag,"ab 40,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/v4tYN09
Contemporary Workshop ,März09Samstag,"ab 50,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/KWx3LyO
Pole Tricks & Transitions - Beginner Workshop ,März16Samstag,"ab 50,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/WRl24o5
Regrips and flips in combos - Intermediate Workshop,März16Samstag,Ausgebucht,1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/wrZkEQ3
VALENTINS WORKSHOPS,Feb09bis Feb 27,"ab 25,00 €",5 Einheiten,Seemannsbraut Poledance,"Ochsenweg 27-29, 24941 Flensburg",https://www.eversports.de/e/workshop/tjSmCEx
Lea Roth - Favorite Tricks & Combos,Feb17Samstag,"ab 55,00 €",1 Einheit,Seemannsbraut Poledance,"Ochsenweg 27-29, 24941 Flensburg",https://www.eversports.de/e/workshop/mQPzgO-
Workshop mit @bou_boulette (Janine Hollung),März02bis März 02,"ab 65,00 €",2 Einheiten,POLEside,"Weststraße 1, 74193 Schwaigern",https://www.eversports.de/e/workshop/llCPKoMLh
