Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Lapdance Valentine's Special ,Feb17Samstag,Ausgebucht,1 Einheit,PoleCreation,"Immenstädter Straße 11, 87435 Kempten (Allgäu)",https://www.eversports.de/e/workshop/bmZxua4
Lapdance Valentine's Special ,Feb17Samstag,Ausgebucht,1 Einheit,PoleCreation,"Immenstädter Straße 11, 87435 Kempten (Allgäu)",https://www.eversports.de/e/workshop/qcRMhzd
Lapdance Valentine's Special,Feb24Samstag,Ausgebucht,1 Einheit,PoleCreation,"Immenstädter Straße 11, 87435 Kempten (Allgäu)",https://www.eversports.de/e/workshop/Zj0NETg
Lap & Strip (ALL LEVELS)  *Valentine`s Edition,Feb10Samstag,"ab 35,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/Q5aPZDK
Lap Dance I Hot as Hell (Intermediate),Feb10Samstag,"ab 35,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/I9MFy2z
Twerkshop by Maddie,März02Samstag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/N4v8WV0
WORKSHOP: Chair Dance,März16Samstag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/onN7Doj
Seductive Sunday  - Floorwork ,Feb25Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/2z_srY0
Seductive Sunday  - Pole ,Feb25Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/o5_MV7J
Rock the Pole. A Trilogie. ,März09bis März 30,"ab 49,00 €",3 Einheiten,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/0u01Mza
Lapdance. A Trilogie. ,März09bis März 30,"ab 49,00 €",3 Einheiten,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/DBxar8u
Endless Spins mit lea,März16Samstag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/GlPG304
"Heels ""What its worth"" mit Lea",März16Samstag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/wj20M8W
Seductive Sunday  - Pole ,März24Sonntag,"ab 25,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/113IYbR
Seductive Chairdance ,März24Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/vyTj8JR
Rock the Pole mit Emmy ,Apr07Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/GMeuKSV
Rock the Chair mit Emmy ,Apr07Sonntag,"ab 34,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/461op6s
Rock the Floor mit Emmy ,Apr07Sonntag,"ab 34,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/NrFmto0
Get your Shoulderstand - Floorworktechnik mit Becca,Apr28Sonntag,"ab 25,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/km4K7Yv
"""Fummeln für Fortgeschrittene"" Pole choreo mit Jannah",Mai26Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/B2Sz3mv
"""Fummeln für Fortgeschrittene""  Chairdance Choreo mit Jannah",Mai26Sonntag,"ab 34,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/HhyMbSA
"""Fummeln für Fortgeschrittene"" Floorwork Choreo mit Jannah",Mai26Sonntag,"ab 34,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/WBlAegH
VALENTINS WORKSHOPS,Feb09bis Feb 27,"ab 25,00 €",5 Einheiten,Seemannsbraut Poledance,"Ochsenweg 27-29, 24941 Flensburg",https://www.eversports.de/e/workshop/tjSmCEx
Lea Roth - Favorite Tricks & Combos,Feb17Samstag,"ab 55,00 €",1 Einheit,Seemannsbraut Poledance,"Ochsenweg 27-29, 24941 Flensburg",https://www.eversports.de/e/workshop/mQPzgO-
Rock Hard Style High Heels Pole Workshop,Feb04Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/LAHNDF-
*Shake that* Twerk Workshop,Feb25Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/JM68hgK
Hip Hop Pole Choreo Workshop,März16Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/2f93D4_
Sexy Floorwork Workshop,März17Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/9PbaXsNu8
Special: Pole & Strip - Naughty But Nice,Jan27Samstag,Ausgebucht,1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/vARBWEo
Special: Feel The Floor - Floorwork Choreo,Jan27Samstag,"ab 32,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/_rpmj33
Special: Shake It Off - Twerk Choreo,Jan27Samstag,"ab 32,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/zggCl8G
Special: Tease It Out - sexy Chair Dance Choreo,Feb03Samstag,"ab 32,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/3sYwu8j
Special: Flexi intensive - Backbends,Feb24Samstag,"ab 25,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/sJO5aQ1
Special: Contemporary Pole Choreo,März09Samstag,"ab 38,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/T2iJuZb
Special: Rock The Chair ,März09Samstag,"ab 32,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/JKD4cQ5
Aerial Kids Workshop: Vertikaltuch Beginner,März17Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/fVM0ULF
Aerial Kids Workshop: Luftring Beginner,März17Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/9fkoAyU
Aerial Kids Workshop: Vertikaltuch Beginner,Apr21Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/leDNfNr
Aerial Kids Workshop: Vertikaltuch FORTGESCHRITTENE,Apr21Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/ahCVYvh
Aerial Kids Workshop: Vertikaltuch Beginner,Mai05Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/RjsCf5S
Aerial Kids Workshop: Vertikaltuch MITTELSTUFE,Mai05Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/ZOxKKrM
