URL_SCL_E,Time,Duration,Name,Available Slots,Trainer,Room
https://www.eversports.de/e/class/SCq7SaA,17:00,60 Min,Pole Fitness (Anfänger),Anfänger3 freie Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/AVxPw9l,18:15,60 Min,Pole Fitness (Mittelstufe),Intermediate5 freie Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/M87njgU,19:30,90 Min,Aerial Yoga,Alle Level3 freie Plätze,Katja,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/Hsc60HX,19:30,90 Min,Pole Fitness (Fortgeschritten),Fortgeschrittenmehr als 5 Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/bLIwcqu,17:15,60 Min,Ballett Bijou,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/D9psSrE,18:30,60 Min,Stretch & Strength (Front Split),Alle Levelmehr als 5 Plätze,Pia,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/qW9gSnc,18:30,60 Min,Aerial Hoop (Mittelstufe),Intermediatemehr als 5 Plätze,Pia,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/Spx7rtg,18:30,75 Min,Open Training (Pole),Anfängerausgebucht,Privates,Unbekannt
https://www.eversports.de/e/class/4fbVp4e,19:45,60 Min,Aerial Hoop (Anfänger),Anfänger5 freie Plätze,Julia,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/lK7ta7A,19:45,90 Min,Flow it out - Heels Edition (Anfänger & above),Anfängermehr als 5 Plätze,Smaranda,Pole Fitness (EG)
https://www.eversports.de/e/class/M-fGBBr,17:30,60 Min,Pole Fitness - All about Basics I (Alle Level),Anfängerausgebucht,Vanessa,Pole Fitness (EG)
https://www.eversports.de/e/class/clflJlb,18:45,60 Min,Pole Fitness (Anfänger),Anfängermehr als 5 Plätze,Vanessa,Pole Fitness (EG)
https://www.eversports.de/e/class/CGsANbr,20:00,60 Min,Pole Fitness - All about Basics II (higher Beginner to intermediate),Intermediate3 freie Plätze,Vanessa,Pole Fitness (EG)
https://www.eversports.de/e/class/OfF-VIt,18:00,60 Min,Stretch & Strength (middle Split),Alle Levelmehr als 5 Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/7xO76BG,18:00,60 Min,In der Winterpause - Hip Hop Dance Workout,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/CqR3Ty_,18:00,60 Min,Probestunde für Einsteiger: Pole Fitness,Anfängermehr als 5 Plätze,Sarah,Pole Fitness (EG)
https://www.eversports.de/e/class/0K32R0R,19:15,60 Min,Flow it out (Anfänger & above),Anfänger4 freie Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/DbZQvx0,19:15,75 Min,Open Training: Aerial Silk,Anfänger2 freie Plätze,Pia,Aerial Silk / Open Space
https://www.eversports.de/e/class/YAXPHWn,19:15,75 Min,Open Training: Pole,Anfängerausgebucht,Privates,Unbekannt
https://www.eversports.de/e/class/gIeoLLY,19:15,75 Min,Open Training: Aerial Hoop / Aerial Sling,Anfänger3 freie Plätze,Aerial Silk / Open Space,Unbekannt
https://www.eversports.de/e/class/acuC-Ee,10:30,60 Min,Weihnachtsyoga und Meditation,3 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/mgHV5eS,18:30,60 Min,Aufzeichnung: Yoga Wheel Flow,2 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/LFn_9dN,18:30,90 Min,Best of Pole Tricks for Photoshootings - Intermediate Level (Online Kurs),mehr als 5 Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/2bKclXf,18:30,60 Min,Aufzeichnung: Yoga Stretching Flow,4 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/LQw4bnA,18:30,60 Min,Aufzeichnung: Pole Tricks Intermediate,5 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/cZPvzuL,18:30,60 Min,Yoga Stretching Flow (Online Kurs),4 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/mgHV5eS,18:30,60 Min,Aufzeichnung: Yoga Wheel Flow,2 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/LFn_9dN,18:30,90 Min,Best of Pole Tricks for Photoshootings - Intermediate Level (Online Kurs),mehr als 5 Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/2bKclXf,18:30,60 Min,Aufzeichnung: Yoga Stretching Flow,4 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/LQw4bnA,18:30,60 Min,Aufzeichnung: Pole Tricks Intermediate,5 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/cZPvzuL,18:30,60 Min,Yoga Stretching Flow (Online Kurs),4 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/acuC-Ee,10:30,60 Min,Weihnachtsyoga und Meditation,3 freie Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/1HkImifWsXA,10:00,60 Min,Mixed Pole Class (L 2- 3),5 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/wUPr3tM,11:00,60 Min,Privatstunde,1 freier Platz,Katharina,Unbekannt
https://www.eversports.de/e/class/AyidW_qZJUp,11:00,60 Min,Pole Advanced Tricks (Level 3-4),5 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/-SsPZlxP8UC,10:00,60 Min,Pole Runner up  (Level2),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/Xf82FgVJXKF,11:00,75 Min,Pole Advanced Tricks (Level 3-4),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/y9DqH4mi_Ls,11:00,60 Min,Pole Newcomer (Level 1),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/ZEfRl0wKQ3l,12:15,60 Min,Spinning Trick und Kombis (ab Level 2),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/7dcbRmc,12:15,60 Min,Stretching,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/gHWS1oapDvU,13:30,75 Min,Freies Training,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/8pNpQNhDtM_,12:00,60 Min,Stretching,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/PBPl1LznEWZ,13:15,60 Min,Pole Newcomer (Level 1),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/6PdKoITmMWr,17:00,60 Min,Exotic Pole (Alle Level),mehr als 5 Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/FWVLZvNQOOM,18:00,75 Min,Pole Advanced Tricks (Level 3-4),mehr als 5 Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/cSmuPW-,19:20,60 Min,Aerial Hammock Beginner,ausgebucht,Katharina,Unbekannt
https://www.eversports.de/e/class/8ZFZij0SjgH,20:25,60 Min,Pole Newcomer (Level 1),Anfängerausgebucht,Romina,Unbekannt
https://www.eversports.de/e/class/-50T08AMHj0,17:00,60 Min,Pole Newcomer (Level 1),Anfängerausgebucht,Katharina,Unbekannt
https://www.eversports.de/e/class/jjk38Qs8pVQ,18:00,75 Min,Pole Kombis and Strength (ab Level 3),3 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/-E3kjRI,19:15,75 Min,Flexy Pole Moves Intermediate (L3-4),Intermediate4 freie Plätze,Loretta,Unbekannt
https://www.eversports.de/e/class/AvBF929MhE2,20:15,60 Min,Pole Runner up  (Level2),Intermediatemehr als 5 Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/IYMMo8A5de3,18:00,75 Min,Aerial Hammock Intermediate,5 freie Plätze,Larissa,Unbekannt
https://www.eversports.de/e/class/0y_slRqgAv7,19:30,75 Min,Flexy Pole Moves Beginner (L1-2),3 freie Plätze,Olga,Unbekannt
https://www.eversports.de/e/class/gLUkN9389CD,17:00,60 Min,Pole Runner up  (Level2),Intermediate3 freie Plätze,Olga,Unbekannt
https://www.eversports.de/e/class/lzGAIpw_pwZ,18:15,60 Min,Aerial Silk Level 2,Anfänger4 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/ncYwrcwte7N,18:15,60 Min,Power Fitness,Alle Level5 freie Plätze,Olga,Unbekannt
https://www.eversports.de/e/class/KKYTt5uIMXi,19:15,90 Min,Polenastics Advanced,Alle Level3 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/-_Max3g7oij,17:00,60 Min,Aerial Hoop Beginner,Anfänger5 freie Plätze,Katya,Unbekannt
https://www.eversports.de/e/class/ZLQHcN1EsZa,18:00,60 Min,Aerial Hoop Intermediate,Intermediatemehr als 5 Plätze,Alma,Unbekannt
https://www.eversports.de/e/class/hM5nQC8ksl0,19:15,60 Min,Pole Newcomer (Level 1),Anfängerausgebucht,Romina,Unbekannt
https://www.eversports.de/e/class/s3NztjAn0tS,20:15,60 Min,Pole Runner up  (Level2),Intermediateausgebucht,Romina,Unbekannt
https://www.eversports.de/e/class/6PdKoITmMWr,17:00,60 Min,Exotic Pole (Alle Level),mehr als 5 Plätze,Unbekannt,Unbekannt
https://www.eversports.de/e/class/FWVLZvNQOOM,18:00,75 Min,Pole Advanced Tricks (Level 3-4),mehr als 5 Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/cSmuPW-,19:20,60 Min,Aerial Hammock Beginner,ausgebucht,Katharina,Unbekannt
https://www.eversports.de/e/class/8ZFZij0SjgH,20:25,60 Min,Pole Newcomer (Level 1),Anfängerausgebucht,Romina,Unbekannt
https://www.eversports.de/e/class/1HkImifWsXA,10:00,60 Min,Mixed Pole Class (L 2- 3),5 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/-50T08AMHj0,17:00,60 Min,Pole Newcomer (Level 1),Anfängerausgebucht,Katharina,Unbekannt
https://www.eversports.de/e/class/jjk38Qs8pVQ,18:00,75 Min,Pole Kombis and Strength (ab Level 3),3 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/-E3kjRI,19:15,75 Min,Flexy Pole Moves Intermediate (L3-4),Intermediate4 freie Plätze,Loretta,Unbekannt
https://www.eversports.de/e/class/AvBF929MhE2,20:15,60 Min,Pole Runner up  (Level2),Intermediatemehr als 5 Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/wUPr3tM,11:00,60 Min,Privatstunde,1 freier Platz,Katharina,Unbekannt
https://www.eversports.de/e/class/IYMMo8A5de3,18:00,75 Min,Aerial Hammock Intermediate,5 freie Plätze,Larissa,Unbekannt
https://www.eversports.de/e/class/0y_slRqgAv7,19:30,75 Min,Flexy Pole Moves Beginner (L1-2),3 freie Plätze,Olga,Unbekannt
https://www.eversports.de/e/class/gLUkN9389CD,17:00,60 Min,Pole Runner up  (Level2),Intermediate3 freie Plätze,Olga,Unbekannt
https://www.eversports.de/e/class/lzGAIpw_pwZ,18:15,60 Min,Aerial Silk Level 2,Anfänger4 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/ncYwrcwte7N,18:15,60 Min,Power Fitness,Alle Level5 freie Plätze,Olga,Unbekannt
https://www.eversports.de/e/class/KKYTt5uIMXi,19:15,90 Min,Polenastics Advanced,Alle Level3 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/AyidW_qZJUp,11:00,60 Min,Pole Advanced Tricks (Level 3-4),5 freie Plätze,Katharina,Unbekannt
https://www.eversports.de/e/class/-_Max3g7oij,17:00,60 Min,Aerial Hoop Beginner,Anfänger5 freie Plätze,Katya,Unbekannt
https://www.eversports.de/e/class/ZLQHcN1EsZa,18:00,60 Min,Aerial Hoop Intermediate,Intermediatemehr als 5 Plätze,Alma,Unbekannt
https://www.eversports.de/e/class/hM5nQC8ksl0,19:15,60 Min,Pole Newcomer (Level 1),Anfängerausgebucht,Romina,Unbekannt
https://www.eversports.de/e/class/s3NztjAn0tS,20:15,60 Min,Pole Runner up  (Level2),Intermediateausgebucht,Romina,Unbekannt
https://www.eversports.de/e/class/-SsPZlxP8UC,10:00,60 Min,Pole Runner up  (Level2),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/Xf82FgVJXKF,11:00,75 Min,Pole Advanced Tricks (Level 3-4),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/ZEfRl0wKQ3l,12:15,60 Min,Spinning Trick und Kombis (ab Level 2),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/7dcbRmc,12:15,60 Min,Stretching,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/gHWS1oapDvU,13:30,75 Min,Freies Training,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/y9DqH4mi_Ls,11:00,60 Min,Pole Newcomer (Level 1),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/8pNpQNhDtM_,12:00,60 Min,Stretching,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/PBPl1LznEWZ,13:15,60 Min,Pole Newcomer (Level 1),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/jFQ2Wr-,10:30,60 Min,Stretching & Mobility,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/M2Se9w8,11:45,75 Min,Freies Training,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/cK-fpN_,19:15,75 Min,Pole Tricks & Technik / L3-L4 / Intermediate,Intermediate5 freie Plätze,Sarah,Unbekannt
https://www.eversports.de/e/class/1ZNQnVv,17:30,75 Min,Intro to Pole,4 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/cDTQOIA,19:00,75 Min,Pole Tricks & Technik / L1-L2 / Anfänger +,mehr als 5 Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/bJSwrb6,17:30,60 Min,Stretching & Mobility,Alle Levelmehr als 5 Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/_a0XB2H,18:45,60 Min,Pole Conditioning,Alle Levelmehr als 5 Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/FleK9yk,17:30,75 Min,Pole Tricks & Technik / L1-L2 / Anfänger +,4 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/8eg_Fzn,19:00,75 Min,Intro to Pole,2 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/pGdnIjo,17:30,75 Min,Pole Choreografie - High Heels /Alle Level,5 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/_eZKlLd,19:00,60 Min,Pole Dance Probestunde,Alle Levelmehr als 5 Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/cK-fpN_,19:15,75 Min,Pole Tricks & Technik / L3-L4 / Intermediate,Intermediate5 freie Plätze,Sarah,Unbekannt
https://www.eversports.de/e/class/1ZNQnVv,17:30,75 Min,Intro to Pole,4 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/cDTQOIA,19:00,75 Min,Pole Tricks & Technik / L1-L2 / Anfänger +,mehr als 5 Plätze,Lilly,Unbekannt
