   Workshop Name,Beschreibung,Studio Name,Location,Category,Date,URL_E,Time
NEW YEAR Yoga & Gong Workshop with White Sound,"NEW YEAR Yoga und Gong Workshop Ein kraftvoller Start ins neue Jahr, um dem Druck der Zeit gelassen begegnen zu können. Lass uns das neue Jahr mit frischer Energie begrüßen, um souverän mit den Anforderungen des Alltags umzugehen. Gemeinsam bringen wir dein System auf Trab und sorgen für Balance in deinem Nervensystem. Freue dich auf eine befreiende und zentrierende Erfahrung. In diesem Workshop: Im Shavasana-Teil: White Sound-Erfahrung: Gemeinsam auf dem Weg: ""Time to let the Magic happen""",YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",Gong Bath,"Montag, 1. Januar 2024",https://www.eversports.de/e/workshop/0nDlAHx,16:00 - 18:00
Radiant Rest with Yin Yoga & Gong Sound Bath,"Radiant rest with Yin Yoga & Gong Sound Bath hosted by Martina & Frida Frida and Martina are happy to extend a warm invitation to you to rest and reset. Martina’s yin yoga for inner stillness guides you into the regenerative qualities of the winter season. Access deep and potent energy within yourself as we focus on the kidney and bladder meridians to release stagnant energies and connect with the regenerative energies from deep within Earth. Frida’s gentle gong and meditative instrument sounds will accompany your practice and lead you into a radiant rest to start blissful into your new year. Event Details: Sunday, 07.01.2024 - Time: 13:30 - 15:30 How to prepare: Please come dressed in comfortable clothing suitable for yoga and meditation. We encourage you to bring your yoga mat, cushion, and an open heart to embrace the healing journey. Feel free to invite any like-minded friends who would also benefit from this transformative experience.",YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",Events,"Sonntag, 7. Januar 2024",https://www.eversports.de/e/workshop/BjFWuvA,13:30 - 15:30
BUDOKON WORKSHOP with Winnie & Anja,"BUDOKON WORKSHOP with Winnie & Anja In this transformative Workshop we invite you to embrace THE WAY OF THE WARRIOR SPIRIT. Budokon Yoga is a dynamic fusion of traditional Hatha Yoga, martial art stances, animal locomotion, mobility, & meditation. This powerful practice is a gateway to unlocking physical and mental focus and precision, making it the perfect journey for the athletic yogi seeking to unleash their inner warrior.  During this workshop, Winnie and Anja will guide you through the signature moves found in the Budokon Primary Series, including the Cobra Roll, Rolling Vinyasa, various Floating Frog and arm balance variations, empowering Double Block, and transitions to Warriors Bridge. We’ll be combining a strong and circular sequence of yogic asanas, standing balances & transitions that elevate your muscular strength, enhance your body control, improve stability, and boost agility and mobility. At the heart of it all, we will help you cultivate and experience the pure state of Zen Mind, achieving both inner and outer harmony. Join us on this remarkable journey to your best self. Date: January 13th, 2024Time: 14-17hPrice 50 EUR WINNIE from Hamburg ignited her way into the Budokon world in 2019 and then BDK Yoga & Mobility at Budokon University in Miami in early 2020.This year she finished the BDK Yoga Secondary Series at Budokon University in Montana. Her classes are interactive, challenging not just physically but also mentally, giving space and sharing a hand with all those on their special Budokon path. She is now enjoying the full Budokon journey, sharing passion, strength, and love with those who are in search of it, building with lots of patience and deepest love for the BUDOKON Community. ANJA is a passionate Budokon teacher based in Berlin. Every Thursday, she guides transformative Budokon Yoga sessions at Lobe Block. Having completed her Budokon Yoga training with Melyane Shayne in 2019, Anja brings a powerful and fluid teaching style while ensuring accessibility for all levels. With her calm and precise guidance, coupled with thoughtfully crafted sequences, Anja skillfully challenges her students, fostering a focused demeanor and a Warrior mind. In her classes and workshops you experience a harmonious blend of strength, flow, and mindfulness.",YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",Budokon Yoga,"Samstag, 13. Januar 2024",https://www.eversports.de/e/workshop/w_3o5kg,14:00 - 17:00
ASSIST WORKSHOP: TWIST ASSISTS with Juan Sierra,"ASSIST WORKSHOP: TWIST ASSISTS In this 3hr Yoga Assist workshop, we will go through Principles of Hands-On-Assists in Twist Assists. Practitioners receive tremendous benefit from effective hands-on assists that navigates them to discover proper alignment and the deepest possible expression of a pose. Skillful, mindful, conscious assists are a powerful way to deepen a practitioners physical experience of an asana while sharpening their personal awareness. This workshop is for both teachers and practitioners who would like to deepen their understanding in the principles of safe and effective hands-on-assists and deepen their understanding of energetic lines. Class will begin with an energetic warm up that will activate the postures covered for the workshop. Through partner work we will learn the essentials of giving and receiving assists, explore how to support others while improving our own practice in the process. In the workshop we will cover how to use body mechanics to offer effective assists. In addition, we will use props (blocks and belts) as part of assists. Please bring a pen and paper to take notes. See you on the floor. Date: January 20th, 2024 Location: LOBE BLOCK, BERLIN Time: 13-16h Price 55 EUR ",YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",Events,"Samstag, 20. Januar 2024",https://www.eversports.de/e/workshop/sf7XSTZ,13:00 - 16:00
Jump Back Jump Through Foundations of Ashtanga Yoga with Melina & Alex,"One of the most fundamental, yet challenging parts, of the Ashtanga Vinyasa Yoga method practice is learning to ‘float back’ and ‘glide through’. It seems impossible at first, and can take years to master. However, the journey can be also be viewed as an enjoyable exploration of your body. In this energizing and fun Ashtanga Yoga workshop, we will have a closer look at the outer (physical body mechanics / what are those bandhas the teacher won’t stop talking about?) and inner (emotional and sometimes scary) requirements of jumping back and through. Using clever adaptations, partner work, props and special skill-building techniques, we will explore the key components required to start finally get you to start floating.",YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",Ashtanga led,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/5WFQ4Sn,11:00 - 13:00
Aerial Hammock Workshop,"Aerial Hammock ist ein Tuch, welches von der Decke hängt. Dabei sollte man das Aerial Hammock allerdings nicht mit dem gemütlichen Abhängen in einer Hängematte verwecheln. Beim Hammock geht es darum, sich durch bestimmte Körperbewegungen so in das Tuch einzudrehen, dass man sich anschließend hängen oder auch fallen lassen kann. Dabei trainierst du automatisch deine Körperspannung. Es werden außerdem verschiedene Tanz- und Akrobatikelemente am Tuch unterrichtet. Du wirst deine Tiefenmuskulatur aufbauen, deine Flexibilität steigern und deine Balance verbessern. Die Elemente und Kombinationen werden in diesem Kurs mit und ohne Spin unterrichtet. Durch die Kombination von Kraft, Flexibilität und der verschiedenen Figuren, eignet sich Aerial Hammock ausgezeichnet als Ergänzung zu deinem Aerial Hoop und Pole-Training. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6€. Aerial Hammock Tücher werden zum Schnuppern im Studio 2x kostenfrei zur Verfügung gestellt.Wir empfehlen Dir Dein eigenes Tuch mitzubringen, wenn Du öfters an den Kursen teilnehmen magst. Gerne beraten wir Dich auch vor Ort. Falls Du das Tuch vor Ort öfters ausleihen musst, berechnen wir eine Gebühr von 10 Euro. Bitte trage keinen Schmuck während des Trainings, da dieser die Tücher beschädigen kann..",Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",Aerial Akrobatik,"Freitag, 5. Januar 2024",https://www.eversports.de/e/workshop/M1qt2st,17:00 - 18:10
Aerial Hoop Splits,"Für diesen Kurs ist kein flacher Spagat am Boden notwendig, jedoch solltest du etwas Beweglichkeit in der Hüfte un ein wenig Vorerfahrung am Hoop mitbringen. Es werden verschiedene Splits am Hoop trainiert. Der Workshop kostet für Mitglieder einen Aufpreis von 6€.",Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",Aerial Akrobatik,"Freitag, 5. Januar 2024",https://www.eversports.de/e/workshop/YFREpIp,18:30 - 19:40
Flying Pole Workshop,"Entdecke die Schwerelosigkeit - Schwebende Eleganz und Kraft! Hast du schon immer davon geträumt, die Kunst des Flying Pole zu beherrschen? Möchtest du lernen, wie man anmutig und kraftvoll an der Stange schwebt und atemberaubende Moves ausführt? Dann haben wir genau das Richtige für dich! Die Flying Pole ist eine frei schwebende Pole mit der du bei deinen Kombi's schwingen und dich drehen kannst. Beim Training werden die bekannten Figuren und Kombi's vom ""normalen"" Poledance Unterricht übernommen. Dennoch erreichst du beim Flying Pole ein ganz neues Level für dein Training. Denn abgesehen davon, dass der Spaßfaktor durch das freie Schwingen steigt, werden die Figuren auch ein wenig schwieriger. Du musst neben der Ausführung der Figuren nämlich auch das Schwingen und Drehen der Pole kontrollieren. Beim Flying Pole trainierst du alle Muskelgruppen und steigerst deine Körperspannung. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6€. Bei diesem Workshops sind 2 Teilnehmer an einer Pole.",Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",Poledance,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/workshop/YuOP2Ee,17:00 - 18:10
Aerial Hammock Workshop,"Aerial Hammock ist ein Tuch, welches von der Decke hängt. Dabei sollte man das Aerial Hammock allerdings nicht mit dem gemütlichen Abhängen in einer Hängematte verwecheln. Beim Hammock geht es darum, sich durch bestimmte Körperbewegungen so in das Tuch einzudrehen, dass man sich anschließend hängen oder auch fallen lassen kann. Dabei trainierst du automatisch deine Körperspannung. Es werden außerdem verschiedene Tanz- und Akrobatikelemente am Tuch unterrichtet. Du wirst deine Tiefenmuskulatur aufbauen, deine Flexibilität steigern und deine Balance verbessern. Die Elemente und Kombinationen werden in diesem Kurs mit und ohne Spin unterrichtet. Durch die Kombination von Kraft, Flexibilität und der verschiedenen Figuren, eignet sich Aerial Hammock ausgezeichnet als Ergänzung zu deinem Aerial Hoop und Pole-Training. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6€. Aerial Hammock Tücher werden zum Schnuppern im Studio 2x kostenfrei zur Verfügung gestellt.Wir empfehlen Dir Dein eigenes Tuch mitzubringen, wenn Du öfters an den Kursen teilnehmen magst. Gerne beraten wir Dich auch vor Ort. Falls Du das Tuch vor Ort öfters ausleihen musst, berechnen wir eine Gebühr von 10 Euro. Bitte trage keinen Schmuck während des Trainings, da dieser die Tücher beschädigen kann..",Pole and Move Ludwigshafen,Einzelticket,Aerial Akrobatik,"Samstag, 3. Februar 2024",https://www.eversports.de/e/workshop/aldL57L,10:00 - 11:10
Aerial Hoop Rolls Workshop,"Aerial Hoop, auch Luftring oder Lyra genannt, entwickelt sich neben Poledance ebenfalls zu einer Trendsportart. Es handelt sich hierbei um einen von der Decke hängenden Edelstahl-Reifen, in und auf dem viele verschiedene Figuren vollführt und sogar Choreografien getanzt werden können. In diesem Aerial Hoop Workshop lernt ihr verschiedene Rolls am Hoop. Der Workshop kostet für Mitglieder einen Aufpreis von 6€.",Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",Aerial Akrobatik,"Samstag, 3. Februar 2024",https://www.eversports.de/e/workshop/hz_ZPLE,11:30 - 12:40
