   Workshop Name,Beschreibung,Studio Name,Location,Category,Date,URL_E,Time
Jump Back Jump Through Foundations of Ashtanga Yoga with Melina & Alex,"One of the most fundamental, yet challenging parts, of the Ashtanga Vinyasa Yoga method practice is learning to ‘float back’ and ‘glide through’. It seems impossible at first, and can take years to master. However, the journey can be also be viewed as an enjoyable exploration of your body. In this energizing and fun Ashtanga Yoga workshop, we will have a closer look at the outer (physical body mechanics / what are those bandhas the teacher won’t stop talking about?) and inner (emotional and sometimes scary) requirements of jumping back and through. Using clever adaptations, partner work, props and special skill-building techniques, we will explore the key components required to start finally get you to start floating.",YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",Ashtanga led,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/5WFQ4Sn,11:00 - 13:00
Spagat,"Straddle & Middlesplit stehen ganz oben auf Deiner Wish-List für 2024?SSDann ist dieser Blockkurs wie für dich gemacht. Lerne Übungen kenne, die Deine passive und aktive Flexibilität verbessern, Muskulatur stärken und den Traum vom Touch-Down in greifbare Nähe rücken. Insbesondere unter Luftakrobaten gehört ein aktiver Straddle irgendwann ins notwendige Repertoire, weil er beispielsweise kraftvolle Inverts mühelos erscheinen lässt.",Luftbonbon,20:20 - 21:20,Stärkung/Flexibilität,"Beginnt am Montag, 5. Februar 2024",https://www.eversports.de/e/workshop/60kU5cU,"Königstraße 45, 32547 Bad Oeynhausen"
Aerial Loops Workshop,"Aerial Loops oder auch Straps Loops genannt sind eine relativ neue Form der Luftakrobatik. Was ist das? 2 lange Schlaufen, die von der Decke hängen - wie Loops.  Und dir so neue Möglichkeiten bieten, Tricks und Moves in der Luft zu machen. Joana  - .unsere professionelle Luftaktrobatin zeigt dir wie. Lust auf was Neusesß Dann meld dich an.  Aerial Loops or Straps loops are a relatively new art of aerial acrobatics. Whats that? These are 2 long loops hanging from the roof and offers you nice & playfull combinations in the air. Simply as aerial hammock or silk - but different. This workshop is for intermediate aerialists or polers who wants to try it. Learn tricks, combos & technique and explore yourself in a new way! Clothing: long pants & long shirt Price: €35 / €30 for poda members / per person Try it!",poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",Aerial Akrobatik,"Samstag, 13. Januar 2024",https://www.eversports.de/e/workshop/5Qka0Ok,13:00 - 14:30
Handstands on Pole Workshop,"Wir stellen die Welt auf den Kopf! Handstand & Pole - beides zusammen ermöglicht ganz neue Tricks und Figuren im und aus dem Handstand. Anna zeigt euch einige davon und wie ihr die Kombination Handstand & Pole perfekt nutzen könnt. Ihr braucht keinerlei Pole Erfahrung, solltet aber schon mal einen Handstand an der Wand oder Pole gemacht haben. Lust bekommen? Dann mach mit! Preis 35€ pro Person 30€ für Mitglieder mit Abo",poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",Poledance,"Samstag, 20. Januar 2024",https://www.eversports.de/e/workshop/mmIS0hG,10:00 - 11:30
How to invert Workshop,"WE GO UPSIDE DOWN! Du möchtest endlich lernen an der Pole kopfüber zu gehen? Hier lernst du Tipps und die richtige Technik fürs saubere Invert! Wenn du schön in den Cruzifix und Outside Leghangs kommen möchtest, ist das dein Workshop! Dieser Workshop ist auch für Tänzer und Turner geeignet, die mal was Neues ausprobieren möchten! Was du mitbringen solltest: - eine kurze Hose - ein Oberteil/Top - Socken und was zu Trinken - ein Handtuch Preis 35€ pro Person 30€ für Poda Mitglieder Meld dich an!",poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",Poledance,"Samstag, 20. Januar 2024",https://www.eversports.de/e/workshop/5id4nVo,12:00 - 13:30
Rock Hard Style High Heels Pole Workshop,"Rock it! Nicht nur an der Pole sondern vor allem musikalisch. Wer Lust auf eine neue High Heels Exotic Choreo im Rock-Metal Stil hat und an der Pole headbangen möchte ist herzlich willkommen.  Hardstyle Elemente, kleine Drops, Floorwork & Headrolls sind hier angesagt. Voraussetzungen: du hast bereits Erfahrung an der Pole auf Heels Preis 35€ pro Person 30€ für Poda Mitglieder mit Abo Meld dich an!",poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",Poledance,"Sonntag, 4. Februar 2024",https://www.eversports.de/e/workshop/LAHNDF-,20:00 - 21:30
Hip Hop Pole Choreo Workshop,"In diesem Workshop werden Hip Hop Dance Moves und Pole Elemente kombiniert und zu einer Choreografie verbunden. Macht euch auf was gefasst - es wird musikalisch und verrückt, wobei der Spaß an der Choreo im Vordergrund steht! Lerne eine neue Choreografie mit coolen Pole Tricks, Hip Hop Tanzelementen & Technique.   Dieser Workshop ist sowohl für Pole Anfänger als auch für Fortgeschrittene geeignet. Kleidung: saubere Sneakers/Socken, (lange) Hose Preis 35€ pro Person 30€ für Poda Mitglieder mur Abo Meld dich an!",poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",Poledance,"Samstag, 16. März 2024",https://www.eversports.de/e/workshop/2f93D4_,12:45 - 14:15
POLE TRICKS I Flip it like its hot,"Es wird wild! Verlier die Angst vor Flips und Drops. Bitte bring deine Yoga-Matte mit. Voraussetzung: min. Level 2 Sichere Leg hangs, Butterfly, Bras Monkey Teilnahmegebühr 35€/25€ Limited Mitglieder, inklusive für Unlimited-Mitglieder/ Member",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 14. Januar 2024",https://www.eversports.de/e/workshop/y4Xf51X,11:45 - 13:15
EXOTIC POLE I ab Level 2,"Lerne sexy Moves mit oder ohne Heels. Für den Floorwork-Teil brauchst du unbedingt Knieschoner und Strümpfe. Bitte bring deine Yoga-Matte oder ein großes Handtuch mit. Teilnahmegebühr 35€/25€ Limited Mitglieder, inklusive für Unlimited-Mitglieder / Member",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 14. Januar 2024",https://www.eversports.de/e/workshop/Zp9bPAd,13:45 - 15:15
POLE DANCE I Probestunde,"Für Anfänger. Keine Voraussetzungen nötig! Hier lernst du die ersten Basics und stärkst die für Pole Dance wichtige Muskulatur, wie z.B. Hände, Schultern, Bauch und Beine. Wir beginnen mit einem Warm-Up und Stretching um Deinen Körper gut vorzubereiten, erlernen eine kleine Choreographie und enden mit einem sanften Cool-Down. Was Du anziehen und beachten solltest: - Bitte sei ca. 10 Minuten vor Kursbeginn im Studio - Bring deine eigene Yogamatte mit - kurze Shorts ohne Nieten und Reißverschluss und ein anliegendes Top - Wir trainieren barfuß oder nur mit Socken - Ringe, Armbanduhr und Schmuck könnten die Pole beschädigen, am besten gleich zu Hause lassen. - Bitte Keine Glasflaschen",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 14. Januar 2024",https://www.eversports.de/e/workshop/ofcdL5R,15:45 - 16:45
ACRO YOGA,"Entdecke die Kraft in Dir, einen Menschen auf Deinen Füßen und Händen zu balancieren und zu bewegen. Erlebe auch das unglaubliche Gefühl, Dich balancieren zu lassen, auf den Füßen und Händen eines anderen Menschen. Ein Spotter (= Hilfestellung) sichert das Geschehen, so dass Du den Flug vertrauensvoll genießen kannst. Du wirst erstaunt sein was alles möglich ist, Riesenspaß haben und direkt im Hier und Jetzt ankommen. Ganz nebenbei macht AcroYoga Deinen Körper stark und beweglich. Du bist mit oder ohne Partner herzlich willkommen. Pro Person eine Anmeldung. Bitte bring Deine Yoga-Matte mit. Es werden 2 Besuch deiner Mitgliedschaft oder 20er Karte verrechnet.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Akrobatik,"Sonntag, 21. Januar 2024",https://www.eversports.de/e/workshop/vP3iPub,10:00 - 12:00
THAI YOGA MASSAGE I Kopf und Nacken,"Dieses mal mit dem Schwerpunkt auf Kopf und Nacken. In der heutigen Zeit werden virtuelle Umarmungen und Küsse per Klick verschickt. So wird echte Berührung von echten Menschen immer wertvoller. Unterschätze niemals die Botschaft, die von deinen Händen ausgeht die in Verbundenheit mit deinem Herzen und Geist sind. Die vier Säulen der Thai Yoga Massage sind Achtsamkeit, Klarheit, Spüren und Hingabe. Eine Thaimassage wird nicht mit Muskelkraft sondern mit Gewichtsverlagerung gegeben. So kann auch der Massage Gebende entspannen und die Massage ganz meditativ genießen. Thaimassage kann bei vielen Beschwerden wie Kopfschmerzen, Rückenproblemen und vielem mehr helfen. Die Technik der Thai Yoga Massage lösen Energieblockaden und führen bei dem Empfänger zu einer tiefen Entspannung. Loslassen wird leichtgemacht und die Selbstheilungskräfte werden aktiviert. Der Workshop beginnt mit einer kurzen meditativen Yogasequenz, so dass Du gut auf das Geben und Empfangen der Massage vorbereitet bist. Thaimassage wird bekleidet ausgeführt. Du solltest aber zum massieren sowie zum massiert werden bequeme Wohlfühl-Kleidung tragen (Sportbekleidung). Alle anderen Hilfsmittel stehen ausreichend im Balance zur Verfügung. Du kannst Dich mit deinem Partner, Ehepartner, Geschwister, Eltern oder Freundin anmelden.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Yoga,"Sonntag, 21. Januar 2024",https://www.eversports.de/e/workshop/Z8REpQ1,12:30 - 14:30
AERIAL HOOP I Probestunde,"Luftakrobatik im Ring. Hier wird Kraft, Beweglichkeit und Balance ganz nebenbei trainiert. Denn vor allem macht es unglaublich viel Spaß. Bitte bring deine Yoga-Matte mit.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Akrobatik,"Sonntag, 21. Januar 2024",https://www.eversports.de/e/workshop/BFImvPj,15:00 - 16:00
SPAGAT I Intensiv,"Dieser Workshop ist für alle, die ihre Flexibilität auf das nächste Level heben möchten. Mit aktiven und passiven Stretches und Yoga-Übungen, wird deine Beweglichkeit noch weiter verbessert. Yoga-Übungen werden in einen harmonischen Flow verpackt. Deine Atmung wirkt unterstützend und neben mehr Flexibilität wirst du außerdem mehr Achtsamkeit für deinen Körper erlangen. Voraussetzung: Keine Verletzungen, gute Beweglichkeit (deine Hände berühren den Boden bei einer gestreckten Vorwärtsbeuge) Teilnahmegebühr 35€/20€ inklusive für Unlimited-Mitglieder & Member",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Stretching,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/workshop/lxu9gbp,10:30 - 12:00
POLE SPLITS,"Spagat mit und an der Pole sehen immer spektakulär aus und dabei ist egal ob es ein ""echter"" oder ein ""fake"" Split ist. Die perfekte Vorbereitung ist der Spagat Intensiv-Workshop davor. Bitte bring deine Yoga-Matte mit. Voraussetzung: min. Level 2 Sichere Leg hangs, Bras Monkey und gute Flexibilität Teilnahmegebühr 35€/25€ Limited Mitglieder, inklusive für Unlimited-Mitglieder/ Member",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/workshop/CRjs8aS,12:30 - 14:00
INVERSIONS I mit dem FeetUp Trainer,"Umkehrhaltungen sicher und einfach. Mit dem FeetUp Trainer beherrschst du Umkehrhaltungen innerhalb weniger Minuten und baust gleichzeitig Kraft, Beweglichkeit und Gleichgewicht auf. Renate zeigt Dir wie es geht. Bitte bring Deine Yoga-Matte mit.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Akrobatik,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/workshop/HlGXT-6,14:30 - 16:00
POLE DANCE I Probestunde,"Für Anfänger. Keine Voraussetzungen nötig! Hier lernst du die ersten Basics und stärkst die für Pole Dance wichtige Muskulatur, wie z.B. Hände, Schultern, Bauch und Beine. Wir beginnen mit einem Warm-Up und Stretching um Deinen Körper gut vorzubereiten, erlernen eine kleine Choreographie und enden mit einem sanften Cool-Down. Was Du anziehen und beachten solltest: - Bitte sei ca. 10 Minuten vor Kursbeginn im Studio - Bring deine eigene Yogamatte mit - kurze Shorts ohne Nieten und Reißverschluss und ein anliegendes Top - Wir trainieren barfuß oder nur mit Socken - Ringe, Armbanduhr und Schmuck könnten die Pole beschädigen, am besten gleich zu Hause lassen. - Bitte Keine Glasflaschen",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 4. Februar 2024",https://www.eversports.de/e/workshop/9j7N418,14:30 - 15:00
POLE INVERTS I Get up side down,"Inverts sind spätestens ab Level 1 ein wichtiger Bestandteil unserer Klassen. Ihr lernt verschiedenen Arten, in die Umkehrung zu gehen und worauf es ankommt. Wenn du also den Chopper meistern oder ganz allgemein deine Inverts verbessern möchtest, ist das der perfekte Workshop für Dich. Jeder wird seinem Können entsprechende Verbessetungstipps bekommen. Anmeldung mit Mitgliedschaft, Membership, 20er-Karte oder als Einzelkurs möglich. Bitte bring deine Yoga-Matte oder ein großes Handtuch mit. Voraussetzung: mind. 6 Monate Pole",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 4. Februar 2024",https://www.eversports.de/e/workshop/AL0d8uV,16:00 - 17:30
POLE DANCE I Level 4,"Voraussetzung: Level 3 Teilnahmegebühr 35€/25€ Limited Mitglieder, inklusive für Unlimited-Mitglieder/ Member Bitte bring deine Yoga-Matte mit.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 18. Februar 2024",https://www.eversports.de/e/workshop/DmdrEre,11:00 - 12:30
HANDSTAND Vorbereitung,"Den Handstand zu erlernen bringt Dir viele Benefits für Deinen Körper und auch für Deinen Geist!  Der Handstand sieht nicht nur beeindruckend aus, sondern zeugt auch von Fitness. Das Üben stärkt viele verschiedene Muskelgruppen und hat noch weitere Vorteile für dein Wohlbefinden. ⁣Ein gestärkter Rumpf und Oberkörper ⁣⁣Anfangs wird es dir wahrscheinlich schwer fallen, dich allzu lange auf deinen Händen zu halten, doch mit der Zeit werden die Muskeln in deinen Armen, Schultern und Rumpf stärker werden. ⁣Mehr Gleichgewicht ⁣⁣Für einen Handstand braucht man nicht nur Muskelkraft, sondern auch einen guten Gleichgewichtssinn. ⁣Stärkere Knochen, bessere Durchblutung ⁣⁣Der Handstand zählt als Gewichtsübung und kann deshalb Osteoporose vorbeugen. Dadurch, dass eine Vielzahl an Muskeln beansprucht wird, wird der Aufbau von Knochenmasse gefördert. Der Handstand fördert außerdem die Durchblutung des Oberkörpers, vor allem die der Lunge. ⁣Gute Laune⁣⁣Wer öfter mal Kopf steht, der kann damit auch seine Stimmung aufhellen. Der Handstand wirkt tatsächlich aufmunternd, hat aber auch beruhigende Wirkung. Zudem wirkt sich der Handstand auf die Adrenaldrüse aus, sodass die Produktion des Stresshormons Cortisol reduziert wird. Deshalb wirkt ein Handstand auch bei einer leichten depressiven Stimmung Wunder.  Lerne die Basics, die Du brauchst um einen Handstand zu lernen, in diesem Workshop kennen. Voraussetzung: Keine Verletzungen, bereits geübte Umkehrungen durch Feet Up, Aerial Yoga, Pole Dance L1 und min. 30 Sec. Herabschauender Hund halten können. Teilnahmegebühr 35€/25€ inklusive für Unlimited-Mitglieder & Member",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Akrobatik,"Sonntag, 25. Februar 2024",https://www.eversports.de/e/workshop/s-CvYfY,10:30 - 12:00
RÜCKBEUGE I Intensiv,"Dieser Workshop ist für alle, die ihre Flexibilität auf das nächste Level heben möchten. Mit aktiven und passiven Stretches und Yoga-Übungen, wird deine Beweglichkeit noch weiter verbessert. Yoga-Übungen werden in einen harmonischen Flow verpackt. Deine Atmung wirkt unterstützend und neben mehr Flexibilität wirst du außerdem mehr Achtsamkeit für deinen Körper erlangen. Auf der einen Seite sind Rückbeugen sehr befreiend, schenken Energie und man fühlt sich hinterher wunderbar lebendig. Auf der anderen Seite sind viele Menschen im unteren Rücken verspannt und haben Rückenschmerzen. Rückbeugen fordern gerade deshalb ein hohes Maß an Verständnis, Wissen und Körpergefühl.  Voraussetzung: Keine Verletzungen Teilnahmegebühr 35€/20€ inklusive für Unlimited-Mitglieder & Member",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Stretching,"Sonntag, 25. Februar 2024",https://www.eversports.de/e/workshop/lIzIIH9,12:30 - 14:00
HANDSTAND Vorbereitung I Teil 2,"Den Handstand zu erlernen bringt Dir viele Benefits für Deinen Körper und auch für Deinen Geist!  Der Handstand sieht nicht nur beeindruckend aus, sondern zeugt auch von Fitness. Das Üben stärkt viele verschiedene Muskelgruppen und hat noch weitere Vorteile für dein Wohlbefinden. ⁣Ein gestärkter Rumpf und Oberkörper ⁣⁣Anfangs wird es dir wahrscheinlich schwer fallen, dich allzu lange auf deinen Händen zu halten, doch mit der Zeit werden die Muskeln in deinen Armen, Schultern und Rumpf stärker werden. ⁣Mehr Gleichgewicht ⁣⁣Für einen Handstand braucht man nicht nur Muskelkraft, sondern auch einen guten Gleichgewichtssinn. ⁣Stärkere Knochen, bessere Durchblutung ⁣⁣Der Handstand zählt als Gewichtsübung und kann deshalb Osteoporose vorbeugen. Dadurch, dass eine Vielzahl an Muskeln beansprucht wird, wird der Aufbau von Knochenmasse gefördert. Der Handstand fördert außerdem die Durchblutung des Oberkörpers, vor allem die der Lunge. ⁣Gute Laune⁣⁣Wer öfter mal Kopf steht, der kann damit auch seine Stimmung aufhellen. Der Handstand wirkt tatsächlich aufmunternd, hat aber auch beruhigende Wirkung. Zudem wirkt sich der Handstand auf die Adrenaldrüse aus, sodass die Produktion des Stresshormons Cortisol reduziert wird. Deshalb wirkt ein Handstand auch bei einer leichten depressiven Stimmung Wunder.  Lerne die Basics, die Du brauchst um einen Handstand zu lernen, in diesem Workshop kennen. Voraussetzung: 1x den Vorgänger-Workshop. Viele Umkehrungen in anderen Kursen. Teilnahmegebühr 35€/25€ inklusive für Unlimited-Mitglieder & Member",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Akrobatik,"Sonntag, 3. März 2024",https://www.eversports.de/e/workshop/1hwRppH,10:30 - 12:00
ACRO YOGA,"Entdecke die Kraft in Dir, einen Menschen auf Deinen Füßen und Händen zu balancieren und zu bewegen. Erlebe auch das unglaubliche Gefühl, Dich balancieren zu lassen, auf den Füßen und Händen eines anderen Menschen. Ein Spotter (= Hilfestellung) sichert das Geschehen, so dass Du den Flug vertrauensvoll genießen kannst. Du wirst erstaunt sein was alles möglich ist, Riesenspaß haben und direkt im Hier und Jetzt ankommen. Ganz nebenbei macht AcroYoga Deinen Körper stark und beweglich. Du bist mit oder ohne Partner herzlich willkommen. Pro Person eine Anmeldung. Bitte bring Deine Yoga-Matte mit. Es werden 2 Besuch deiner Mitgliedschaft oder 20er Karte verrechnet.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Akrobatik,"Sonntag, 3. März 2024",https://www.eversports.de/e/workshop/FWO9nVb,12:30 - 14:30
POLE STAR I Easy but Beautiful I Julia Pengler,"On spinning pole (beginner-intermediate) Schön muss nicht schwierig sein. In diesem Workshop lernst Du einfachere Posen zu variieren und fließend miteinander zu kombinieren. Beautiful does not have to be difficult! In this workshop you will learn to combine simple spins to beautiful, creative combinations. Bitte bring deine Yoga-Matte mit.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 10. März 2024",https://www.eversports.de/e/workshop/wHwtdS-,09:45 - 11:00
POLE STAR I Static Low Flow I Julia Pengler,"Combos on static pole (beginner-intermediate) In diesem Static Pole Workshop geht es um fließende Übergänge und Kombinationen von Drehungen und Floorwork und auch der ein oder andere Handstand darf dabei nicht fehlen.  Nice long flowy combos of spins, transitions and floorwork including handstands on the static pole.  Bitte bring deine Yoga-Matte mit.",BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 10. März 2024",https://www.eversports.de/e/workshop/D7_g8hU,11:30 - 12:45
POLE STAR I My favorite Tricks & Combos I Julia Pengler,on static pole (intermediate) In diesem Workshop toben wir uns mit meinen aktuellen Lieblingstricks und -kombinationen aus. Ich teile hier einige meiner absoluten Favoriten mit euch! In this workshop we’ll let off steam with my current favorite tricks and combinations on the static bar. You will learn a few of my all-time favorites. Bitte bring deine Yoga-Matte mit.,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",Poledance,"Sonntag, 10. März 2024",https://www.eversports.de/e/workshop/yXJE2Qf,13:15 - 14:30
WORKSHOP WEEKEND mit Lena & Lea,"Acro Yoga - Same Size  06.01. | 11:00-12:30 Uhr  Let's do this together. Das ist das Motto dieses Workshop. In diesem Kurs lernt ihr gemeinsam spaßige Partnerakrobatik-Übungen, für die man keine große und starke Base braucht. Ihr könnt also auch gleich groß und stark sein. ( natürlich müsst ihr das nicht, jede Paar-Konstellation ist willkommen:)! ) Der Workshop ist außerdem für komplette Beginner geeignet. Auch wenn du noch kue Partnerakrobatik gemacht hast. Wir freuen uns auf Euch ❤️! Pole Flow - Level: Beginner/Intermediate mit Lena  06.01. | 13:00-14:30 Uhr Ich freue mich mit euch gemeinsam um die Pole zu tanzen & meine Lieblings Moves mit euch gemeinsam zu erarbeiten und zu einem coolen & sassy Flow zusammen zu setzen. Ihr braucht hierfür eine lange & kurze Hose, Knieschoner und definitiv ein bisschen Attitude ;-) Ich freue mich auf euch! Voraussetzung: Du solltest dich bereits bei polea in den laufenden Beginner Kursen befinden, nicht mehr in den Workshops :-) Pole Double Trouble 07.01. | 15:30-17:00 Uhr  Du hast richtig gelesen 😍. Endlich wieder ein Pole Double Workshop. In diesem Kurs lernt ihr Tricks und Kombinationen zu zweit an der Stange und vorallem sie schön flüssig aussehen zu lassen. Es geht vor allem darum sich an der Stange zu zweit zu bewegen und nicht einfach nur in einen Trick reinzukommen und irgendwie wieder hinaus. Packt also euren Pole buddy ein und schnuppert hinein in eine ganz neue pole Facette. Voraussetzung für diesen Workshop ist ein sauberer Invert und ein outside leghang auf beiden Seiten. Wir freuen uns auf Euch! ❤️  ",Polea - Pole and Aerial Dance,Pole Flow mit Lena  13:00 - 14:30,Workout,"Beginnt am Samstag, 6. Januar 2024",https://www.eversports.de/e/workshop/vbWTF3c,"Budenheimer Parkallee 5, 55257 Budenheim"
Split Tricks - Spreadies to the Gods (intermediate),"Spreadies to the Gods! Dieser Trick-Workshop ist für alle, die verliebt in Splitmoves sind.Neben den einzelnen Split-Tricks arbeiten wir an schönen Übergängen und Kombos.High-Heels sind dabei kein muss aber gerne gesehen ;-) Intermediate Level. Voraussetzung: Eine gewisse Grundbeweglichkeit sollte bestehen und auch sichere Aerial Inverts sind wichtig, um den Workshop voll auskosten zu können. Early Bird Preis bis zum 30.11.2023: 55,00€",Nordpole,"Mendelssohnstraße 15B, 22761 Hamburg",Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/workshop/_tC1Os0,13:30 - 14:45
Stripperella (all level),"Wir tauschen den Glaspantoffel gegen ein Paar Pleaser und tanzen eine sexy Pole Choreo mit vielen Bodenelementen. Wir konzentrieren uns auf die Kunst des Teasens und legen auch Kleidungsstücke ab. Bringt also am besten eine lockere Bluse/Hemd zum Aufknöpfen mit. Level: All Levels - Sichere Schulterrollen helfen dir, den Workshop voll auskosten zu können Early Bird Preis bis 30.11.2023: 55,00 € Regulärer Preis: 60,00 €",Nordpole,"Mendelssohnstraße 15B, 22761 Hamburg",Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/workshop/eNLYiTi,15:00 - 16:15
Floorwork Stripperstyle (all level),"Hair Flicks, Heels Clacks, Crazy Legs & Booty Popping! Wir spielen mit verschiedenen Kombos, wie man sie im Stripclub zu sehen bekommt. Am Ende habt ihr dann noch die Möglichkeit, das Erlernte in einem Freestyle zu variieren. Bring deine höchsten Heels, dein knappstes Höschen und Kneepads mit. All level. Ein bisschen Floorwork & Heels Erfahrung wie z.B. Schulterrollen sind von Vorteil. Early Bird Preis bis 30.11.23: 55,00 € Regulärer Preis: 60,00 €",Nordpole,"Mendelssohnstraße 15B, 22761 Hamburg",Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/workshop/kP5QagX,16:30 - 17:45
Chairdance,"Möchtest du auch gerne mal deine tänzerische Seite rauslassen? Dann ist unser Chair Dance Workshop perfekt für dich. Denn viel aufregender als nur auf einem Stuhl herumzusitzen ist der ästhetische Tanz vor, neben und auf dem Stuhl. Es erwartet dich eine großartige Choreografie, die neben tänzerischen Elementen auch etwas Floorwork und akrobatische Elemente beinhaltet. Für diesen Workshop sind keinerlei Vorkenntnisse notwendig.  Bitte bringe eine Leggins, Knieschoner und ein T-Shirt mit zum Workshop. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",Pole and Move Ketsch,Einzelticket,Fitness,"Samstag, 27. Januar 2024",https://www.eversports.de/e/workshop/d8-2jYm,12:30 - 13:40
Twerking Workshop,"Bist du bereit, deine Hüften zu bewegen und den Rhythmus zu spüren? 🤭 Willkommen zu unserem Twerking-Workshop! Twerking ist mehr als nur ein Tanzstil - es ist eine Ausdrucksform, die deine Kreativität und dein Selbstbewusstsein zum Ausdruck bringt.  In diesem Workshop lernst du: Welche Vorteile bieten die Twerking? Und das alles während du jede Menge Spaß hast!  Für unseren Twerking Workshop brauchst du keinerlei Vorkenntnisse, du musst einfach nur Lust haben etwas Neues zu lernen  Bitte bringe Knieschoner mit zum Workshop. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",Pole and Move Ketsch,Einzelticket,Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/workshop/m2bIKF_,13:45 - 14:55
Step Dance Choreographie,"In diesem Kurs kombinieren wir klassische Step Aerobic Bewegungen mit modernen Tanzstilen (Hip Hop, Ladystyle, House uvm.) Diese werden zu einer einfachen und dennoch mitreißenden Choreographie zusammengeführt. Dieses Workout macht Spaß und ist ein echter Allrounder. Es verbrennt Kalorien, stärkt das Herz-Kreislauf-System und fördert Haltung, Balance und Koordination – ein tolles Training für den gesamten Körper!Lass es dir nicht entgehen und sei dabei. Du benötigst keinerlei Vorerfahrungen oder besondere Fähigkeiten. Lediglich saubere Turnschuhe und etwas erfrischendes zum trinken, ggf. noch ein kleines Handtuch solltest du dabei haben.",PoleathletiX,"Industriestr 10, 22927 Celle",Bodyfit,"Samstag, 6. Januar 2024",https://www.eversports.de/e/workshop/uIvRdHh,11:00 - 12:00
Jumping Fitness,"Jumping Fitness ist ein hochintensives Training auf dem Trampolin. Es kombiniert Ausdauertraining mit Kraftübungen und bietet eine unterhaltsame und effektive Möglichkeit, die Gesamtfitness zu verbessern. Komm vorbei und erlebe diese Sportart mit sehr hohem Spaßgarant. Für das Training solltest du etwas zum trinken-, ein Handtuch und saubere Turnschuhe dabei haben.",PoleathletiX,"Industriestr 10, 22927 Celle",Bodyfit,"Montag, 8. Januar 2024",https://www.eversports.de/e/workshop/piuFbQ5,18:00 - 19:00
Polefitness Kids,"Du bist neugierig und möchtest Polefitness einmal ganz unverbindlich ausprobieren,kennenlernen?! Dann bist du in diesem Kurs genau richtig. Melde dich an und erlerne die ersten Basics an der Pole. In angenehmer Atmosphäre kannst du dich von diesem Sport begeistern lassen. Du benötigst keine Vorerfahrungen oder besondere Fähigkeiten. Hier fangen alle bei Null an. Sei dabei !",PoleathletiX,17:00 - 18:00,Poledance,"Beginnt am Mittwoch, 10. Januar 2024",https://www.eversports.de/e/workshop/bFfG7kg,"Industriestr 10, 22927 Celle"
