Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Aerial Loops Workshop,Jan13Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/5Qka0Ok
Handstands on Pole Workshop,Jan20Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/mmIS0hG
How to invert Workshop,Jan20Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/5id4nVo
Rock Hard Style High Heels Pole Workshop,Feb04Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/LAHNDF-
Hip Hop Pole Choreo Workshop,März16Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/2f93D4_
Basics in heels Workshop,Jan20Samstag,"ab 30,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/6IaiUtv
Drop it like it's hot heels workshop,Jan20Samstag,"ab 30,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/2Yl3NaK
Workshop Polehandstands Open Level,Jan28Sonntag,"ab 30,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/AleLN6N
Workshop Double-Acroyoga Open Level,Feb25Sonntag,"ab 30,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/5VJvMXI
Twerk Workshop,Apr28Sonntag,"ab 35,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/jQOaOC3
Strip Workshop,Apr28Sonntag,"ab 35,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/H4Qz_fT
Einsteiger-Workshop,Jan06Samstag,"ab 30,00 €",1 Einheit,Star Poledance,"Rudolf-Diesel-Straße 6, 53919 Weilerswist",https://www.eversports.de/e/workshop/_HHQiHl
Einsteiger-Workshop,Jan13Samstag,"ab 30,00 €",1 Einheit,Star Poledance,"Rudolf-Diesel-Straße 6, 53919 Weilerswist",https://www.eversports.de/e/workshop/MPPP68A
Einsteiger-Workshop,Jan21Sonntag,"ab 30,00 €",1 Einheit,Star Poledance,"Rudolf-Diesel-Straße 6, 53919 Weilerswist",https://www.eversports.de/e/workshop/Z8xiHKr
Heels Choreo (Intermediate) mit Lea ,Jan21Sonntag,"ab 35,00 €",1 Einheit,Pole-Formance,"Beckumer Straße 24, 59555 Lippstadt",https://www.eversports.de/e/workshop/Orqklfc
Spinning Combos mit Lea ,Jan21Sonntag,"ab 35,00 €",1 Einheit,Pole-Formance,"Beckumer Straße 24, 59555 Lippstadt",https://www.eversports.de/e/workshop/us5YyME
